,Quality,UMI per cell,Replicate,Fraction,Cell number,Method,Clonal MI
303,Q0.464,1200.725337693295,rep0,1.0,196332,PCA,1.3549921715438304
304,Q0.464,1200.725337693295,rep0,1.0,196332,RandomProjection,0.2135290691405651
305,Q0.464,1200.725337693295,rep0,1.0,196332,nanoTxformer,0.288762024407577
306,Q1.000,2586.9939795856,rep0,0.001,196,VAE,1.5009123788264664
307,Q1.000,2586.9939795856,rep0,0.001,196,PCA,1.4043782656455113
308,Q1.000,2586.9939795856,rep0,0.001,196,RandomProjection,0.541305588010196
309,Q1.000,2586.9939795856,rep0,0.001,196,nanoTxformer,0.391065556353801
310,Q1.000,2586.9939795856,rep0,0.002,392,VAE,1.4751771840075023
311,Q1.000,2586.9939795856,rep0,0.002,392,PCA,1.3591043638659446
312,Q1.000,2586.9939795856,rep0,0.002,392,RandomProjection,0.5636894451115705
313,Q1.000,2586.9939795856,rep0,0.005,981,VAE,1.6563263881172123
314,Q1.000,2586.9939795856,rep0,0.005,981,PCA,1.4417655775720044
315,Q1.000,2586.9939795856,rep0,0.005,981,RandomProjection,0.6516434477145315
316,Q1.000,2586.9939795856,rep0,0.01,1963,VAE,1.7070384160072496
317,Q1.000,2586.9939795856,rep0,0.01,1963,PCA,1.4913296187773053
318,Q1.000,2586.9939795856,rep0,0.01,1963,RandomProjection,0.493628595398249
319,Q1.000,2586.9939795856,rep0,0.01,1963,nanoTxformer,0.24459107023213425
320,Q1.000,2586.9939795856,rep0,0.022,4319,VAE,1.7113848082420644
321,Q1.000,2586.9939795856,rep0,0.022,4319,PCA,1.421325504329493
322,Q1.000,2586.9939795856,rep0,0.022,4319,RandomProjection,0.6252142478497118
323,Q1.000,2586.9939795856,rep0,0.046,9031,VAE,1.7236047037087454
324,Q1.000,2586.9939795856,rep0,0.046,9031,PCA,1.4428775955802746
325,Q1.000,2586.9939795856,rep0,0.046,9031,RandomProjection,0.4410338054462513
326,Q1.000,2586.9939795856,rep0,0.1,19633,VAE,1.6557232605368448
327,Q1.000,2586.9939795856,rep0,0.1,19633,PCA,1.5199478564014057
328,Q1.000,2586.9939795856,rep0,0.1,19633,RandomProjection,0.7200297097244553
329,Q1.000,2586.9939795856,rep0,0.1,19633,nanoTxformer,0.2599057111105863
330,Q1.000,2586.9939795856,rep0,0.215,42211,VAE,1.6960518008682026
